7:302,616,58,29,650,8,518,70,138,76
18:32205,47812,43893,54038,26299,10494,24164,54354,534,4800
19:
36:17,616,654,8,84,518,58,70,542,564
37:17,616,15,542,654,8,103,302,61,1126
41:17,616,302,654,542,58,15,101,902,564
42:17,518,302,84,58,654,76,542,564,15
43:17,76,302,564,698,616,654,58,2983,262
44:302,616,542,8,15,84,861,76,6,518
45:347,23970,53818,31315,32623,76,4858,19829,885,8476
46:302,616,8,58,542,245,15,736,650,1102
59:616,654,58,542,15,564,29,650,76,32
60:302,58,616,29,8,84,650,76,542,15
69:302,654,58,564,61,32,650,29,101,76
70:76,302,654,354,84,18150,58,31670,68787,616
94:17,616,654,302,58,32,564,508,84,364
106:29,8,15,84,518,101,6,32,61,554
115:58,8,518,29,15,289,861,138,61,787
116:76,226,17,70,719,654,508,302,564,986
142:58,8,84,32,29,61,81,861,364,301
143:28844,57288,2837,86747,11893,29990,38240,31310,15738,18667
148:17,8,70,986,616,302,654,564,76,542
150:17,302,654,29,650,8,542,15,6,322
156:8,302,616,84,58,542,245,101,1102,650
161:84,616,542,564,101,15,29,138,650,76
171:302,8,84,6,518,650,15,101,76,1102
172:654,58,8,542,861,518,84,76,564,162
174:38437,19585,11194,62981,83263,29660,373,40543,3233,12222
177:17,654,58,616,8,29,542,84,15,518
196:616,29,650,542,15,76,354,61,564,101
202:302,58,8,542,518,15,32,354,245,138
211:12160,19749,7794,67519,95581,17,1131,7466,24899,30039
217:17,518,616,8,84,245,654,2548,15,302
220:10178,186,7649,22713,39446,64973,13192,7478,40356,15660
223:616,654,302,58,518,8,84,29,650,564
224:4797,601,4589,353,8694,1951,769,6417,1043,584
225:302,616,654,58,8,15,542,518,84,61
228:17,302,650,616,58,654,568,224,29,8
229:58,84,518,15,61,861,101,1102,6,32
231:302,616,654,58,76,8,84,70,15,518
232:24068,5844,23961,81992,50356,20596,50621,28540,59541,7752
238:441,3618,4513,1744,4421,9055,13814,17,47138,13881
241:616,58,542,650,29,76,15,84,861,518
245:16786,62162,12895,35859,8588,262,14059,16441,17759,81
249:17,302,654,616,84,8,518,15,58,94
250:616,654,302,58,8,84,518,542,29,564
253:189,1527,3107,17,3172,8848,4825,6434,4568,168
257:17,542,84,861,15,6,554,138,62,354
272:654,1102,58,8,29,518,616,354,650,301
273:17,302,654,650,76,15,736,101,138,861
288:17,616,58,650,15,84,76,101,1196,61
290:17,138,302,226,76,654,564,616,101,84
291:17,15989,84,518,23,26067,6938,16852,1102,302
292:654,616,58,542,76,564,61,289,138,861
294:17,302,8,542,76,29,15,564,354,736
328:43507,1902,302,654,245,84,58,616,29,354
331:17,302,616,654,58,6,542,8,15,518
345:1754,77581,805,28511,45975,11401,385,39936,62840,16881
361:616,58,29,650,8,518,861,138,76,15
376:302,17,58,616,29,84,542,8,322,6
384:17,616,654,302,542,8,518,15,650,564
401:616,58,1102,542,650,29,899,15,70,138
402:302,654,8,542,15,84,518,861,289,162
410:4755,984,463,8860,2880,10041,76,1326,3172,17
448:302,616,8,654,58,542,518,76,245,564
449:17,302,616,654,70,8,58,226,518,84
450:654,302,15,84,29,76,138,1102,245,363
452:13523,36183,5869,27310,74916,2703,56536,7264,50599,13060
476:71577,47309,17,69277,12386,6164,12716,245,15424,1840
488:17,616,302,58,542,518,15,564,861,76
490:17,302,29,15,101,650,76,289,61,32
494:17,616,654,58,542,8,84,518,15,29
500:17,302,76,616,654,58,84,3448,8,650
514:17,76,616,302,654,58,650,564,542,8
525:302,616,654,84,70,508,58,564,245,354
535:17,29,1102,8,650,542,518,6,76,289
536:302,654,616,58,542,8,518,84,650,29
538:302,616,654,58,564,15,76,101,736,1589
539:17,654,58,8,542,84,15,518,564,29
564:84,8,650,518,76,15,564,1102,289,736
582:616,29,76,84,15,861,564,518,138,6
585:17,616,654,302,8,70,245,58,373,29
590:654,8,101,29,518,542,15,70,354,76
601:226
618:17,302,616,58,654,226,650,76,8,542
624:17,7006,15450,508,1589,76,4190,27444,27045,168
627:11539,19731,32661,83175,48524,4671,5512,100692,17025,7334
628:608,23727,19996,35756,18833,9721,27612,94200,18456,62668
632:81,226,13371,36681,76,17,564,780,986,500
633:654,302,58,8,518,15,564,650,84,238
634:226,70,17,508,986,76,3423,564,262,1888
646:17,1995,76,1913,546,2638,302,262,40,564
666:10981,3034,18920,911,11590,6951,11681,21249,35817,6311
667:17,616,654,302,58,542,15,518,8,61
669:2614,24453,11470,13312,6916,2337,23454,14435,39616,21639
678:17,654,302,58,84,542,29,8,518,564
680:17,616,654,58,8,29,650,518,15,84
681:441,4513,16036,719,245,13,76,17,1744,18783
682:1528,2318,7711,76,9783,17,14754,18240,16305,9531
683:27552,669,226,866,27069,52734,20249,16888,3849,55148
684:168,29161,984,11984,8860,5480,11470,719,10493,22890
715:4671,59850,36991,1753,21966,12861,14375,61368,1547,2543
716:17,302,654,616,58,84,542,861,650,29
741:168,574,984,463,8860,1400,17,7711,616,5480
750:8,15,76,61,564,6,32,354,138,1102
754:17,302,616,654,58,76,542,29,84,61
756:616,84,8,650,542,861,289,15,285,1102
757:84976,17,17894,27977,1196,25728,44447,35190,1837,654
758:17,302,616,70858,654,76,46128,58,15,84
763:17,29,84,650,8,542,518,138,564,736
773:17,76,302,654,22569,616,101,58,1102,650
774:17,302,8,650,518,564,76,84,61,32
775:58,542,518,15,76,301,564,101,1102,245
782:26744,616,654,8,518,245,302,84,15,542
784:17,302,542,518,84,76,650,101,29,861
793:654,616,29,518,8,16241,542,13203,11396,76
